"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**";"Version1.0.0.";1;"Val**";;;
2;"JP1";"SMD_JUMPER_3_PAD_TRACE";1;"SMD_JUMPER_3_PAD_TRACE";;;
3;"R2,R4,R3,R1";"0603R";4;"10k";;;
4;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
5;"K4,K2";"easyC-connector";2;"easyC-SMD";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"JP3,JP2";"SMD_JUMPER";2;"SMD_JUMPER";;;
8;",,,,,,,,,,,,";"buzzardLabel";13;"";;;
9;"C1";"0603C";1;"100nF";;;
10;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
11;"G***";"Symbol-Front-Voltmeter";1;"LOGO";;;
12;"K1";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
13;"U1";"SOT23-8";1;"INA219";;;
14;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
15;"G***";"Symbol-Front-Ammeter";1;"LOGO";;;
16;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
17;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
18;"R5";"1210R";1;"0R1";;;
19;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
20;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
